Temperature - (Celsius), Year, Statistics, Country, ISO3
19.0317, 1935, Jul Average, Tanzania, United Republic of, TZA
20.1232, 1935, Aug Average, Tanzania, United Republic of, TZA
22.2245, 1935, Sep Average, Tanzania, United Republic of, TZA
23.2304, 1935, Oct Average, Tanzania, United Republic of, TZA
23.7711, 1935, Nov Average, Tanzania, United Republic of, TZA
22.2931, 1935, Dec Average, Tanzania, United Republic of, TZA
22.0791, 1936, Jan Average, Tanzania, United Republic of, TZA
22.2981, 1936, Feb Average, Tanzania, United Republic of, TZA
22.051, 1936, Mar Average, Tanzania, United Republic of, TZA
21.4385, 1936, Apr Average, Tanzania, United Republic of, TZA
21.3555, 1936, May Average, Tanzania, United Republic of, TZA
19.6377, 1936, Jun Average, Tanzania, United Republic of, TZA
19.5264, 1936, Jul Average, Tanzania, United Republic of, TZA
20.1839, 1936, Aug Average, Tanzania, United Republic of, TZA
21.6272, 1936, Sep Average, Tanzania, United Republic of, TZA
23.4594, 1936, Oct Average, Tanzania, United Republic of, TZA
23.8851, 1936, Nov Average, Tanzania, United Republic of, TZA
22.2989, 1936, Dec Average, Tanzania, United Republic of, TZA
22.855, 1937, Jan Average, Tanzania, United Republic of, TZA
22.8686, 1937, Feb Average, Tanzania, United Republic of, TZA
22.6306, 1937, Mar Average, Tanzania, United Republic of, TZA
21.5743, 1937, Apr Average, Tanzania, United Republic of, TZA
20.499, 1937, May Average, Tanzania, United Republic of, TZA
19.6118, 1937, Jun Average, Tanzania, United Republic of, TZA
19.272, 1937, Jul Average, Tanzania, United Republic of, TZA
19.7957, 1937, Aug Average, Tanzania, United Republic of, TZA
22.0641, 1937, Sep Average, Tanzania, United Republic of, TZA
22.7231, 1937, Oct Average, Tanzania, United Republic of, TZA
23.2089, 1937, Nov Average, Tanzania, United Republic of, TZA
22.274, 1937, Dec Average, Tanzania, United Republic of, TZA
22.5625, 1938, Jan Average, Tanzania, United Republic of, TZA
22.4723, 1938, Feb Average, Tanzania, United Republic of, TZA
22.6277, 1938, Mar Average, Tanzania, United Republic of, TZA
22.2852, 1938, Apr Average, Tanzania, United Republic of, TZA
21.3131, 1938, May Average, Tanzania, United Republic of, TZA
